geoid,name,B01003001,"B01003001, Error"
06000US2502726430,"Grafton town, Worcester County, MA",18330,37
06000US2502728740,"Hardwick town, Worcester County, MA",3003,17
06000US2502728950,"Harvard town, Worcester County, MA",6570,39
06000US2502730560,"Holden town, Worcester County, MA",18300,35
06000US2502730945,"Hopedale town, Worcester County, MA",5942,19
06000US2502731435,"Hubbardston town, Worcester County, MA",4537,36
06000US2502734165,"Lancaster town, Worcester County, MA",8092,18
06000US2502734795,"Leicester town, Worcester County, MA",11229,33
06000US2502735075,"Leominster city, Worcester County, MA",41304,39
06000US2502737420,"Lunenburg town, Worcester County, MA",11087,53
06000US2502740255,"Mendon town, Worcester County, MA",5963,25
06000US2502741165,"Milford town, Worcester County, MA",28429,35
06000US2502741340,"Millbury town, Worcester County, MA",13431,20
06000US2502741585,"Millville town, Worcester County, MA",3218,20
06000US2502745105,"New Braintree town, Worcester County, MA",1106,136
06000US2502746820,"Northborough town, Worcester County, MA",14846,31
06000US2502746925,"Northbridge town, Worcester County, MA",16381,23
06000US2502747135,"North Brookfield town, Worcester County, MA",4761,18
06000US2502750670,"Oakham town, Worcester County, MA",1825,96
06000US2502751825,"Oxford town, Worcester County, MA",13844,25
06000US2502752420,"Paxton town, Worcester County, MA",4849,21
06000US2502753120,"Petersham town, Worcester County, MA",1202,148
06000US2502753225,"Phillipston town, Worcester County, MA",1618,154
06000US2502755395,"Princeton town, Worcester County, MA",3451,26
06000US2502758580,"Royalston town, Worcester County, MA",1356,184
06000US2502758825,"Rutland town, Worcester County, MA",8402,18
06000US2502761800,"Shrewsbury town, Worcester County, MA",36494,32
06000US2502763165,"Southborough town, Worcester County, MA",9968,42
06000US2502763345,"Southbridge Town city, Worcester County, MA",16824,26
06000US2502766105,"Spencer town, Worcester County, MA",11801,22
06000US2502767385,"Sterling town, Worcester County, MA",7954,36
06000US2502768155,"Sturbridge town, Worcester County, MA",9451,20
06000US2502768610,"Sutton town, Worcester County, MA",9208,27
06000US2502769275,"Templeton town, Worcester County, MA",8131,29
06000US2502771480,"Upton town, Worcester County, MA",7703,26
06000US2502771620,"Uxbridge town, Worcester County, MA",13765,22
06000US2502773090,"Warren town, Worcester County, MA",5178,26
06000US2502773895,"Webster town, Worcester County, MA",16838,25
06000US2502775015,"Westborough town, Worcester County, MA",18706,44
06000US2502775155,"West Boylston town, Worcester County, MA",7844,29
06000US2502775400,"West Brookfield town, Worcester County, MA",3767,36
06000US2502777010,"Westminster town, Worcester County, MA",7480,16
06000US2502780405,"Winchendon town, Worcester County, MA",10613,26
06000US2502782000,"Worcester city, Worcester County, MA",183677,46
